session_name          ,Head-Neck Length ,Neck-Chest Length ,Chest-Ab Length ,Ab-Hip Length ,Neck-LShoulder Length ,Neck-RShoulder Length ,LShoulder-LUArm Length ,LUArm-LFArm Length ,LFArm-LHand Length ,RShoulder-RUArm Length ,RUArm-RFArm Length ,RFArm-RHand Length ,Hip-LThigh Length ,LThigh-LShin Length ,LShin-LFoot Length ,LFoot-LToe Length ,Hip-RThigh Length ,RThigh-RShin Length ,RShin-RFoot Length ,RFoot-RToe Length,Upper Body Height ,Standing Height L,Upper Leg Length A ,Upper Leg Length L ,Upper Leg Length R ,Upper Arm Length A ,Upper Arm L ,Upper Arm R ,Biacromial Breadth ,Bideltoid Width ,Wingspan  ,Foot Length A ,Foot Length L ,Foot Length R
M-SMC-06262023-03     ,101.4435,165.7779,207.7362,93.9727,36.6539,36.6539,76.9298,318.307,235.2471,76.9297,318.3072,235.2469,90.2105,406.833,436.357,147.4744,90.2105,406.8331,436.3571,147.4744,568.9303,1412.1203,406.83305,,,318.3071,,,73.3078,227.1673,1334.2755,147.4744,,
M-SMC-06262023-02     ,95.0795,163.259,206.0319,90.6287,38.6418,38.6418,94.0796,274.5449,183.4261,94.0796,274.5449,183.4261,86.1326,369.6249,376.3509,140.8078,86.1326,369.6248,376.3511,140.8077,554.9991,1300.9749,369.62485,,,274.5449,,,77.2836,265.4428,1181.3848,140.80775,,
M-SMC-07282023-34     ,108.3822,241.497,282.5658,97.6174,38.106,38.1059,83.0071,301.26,268.6622,83.0071,301.26,268.662,94.6554,361.9609,397.9439,154.7404,94.6554,361.9609,397.9441,154.7406,730.0624,1489.9672,361.9609,,,301.26,,,76.2119,242.2261,1382.0703,154.7405,,
M-SMC-07252023-20_001 ,103.3466,141.2592,182.973,94.9721,37.651,37.651,85.1971,310.765,239.1401,85.197,310.7652,239.1401,91.4294,458.2002,420.465,149.4668,91.4294,458.2002,420.4651,149.4668,522.5509,1401.2161,458.2002,,,310.7651,,,75.302,245.6961,1345.5065,149.4668,,
M-SMC-07252023-23     ,139.7969,228.2415,208.0785,69.3618,42.0102,42.0102,76.0089,299.4591,248.3759,76.0088,299.4591,248.3761,92.5307,419.0361,413.564,151.2672,92.5307,419.0361,413.5641,151.2672,645.4787,1478.0788,419.0361,,,299.4591,,,84.0204,236.0381,1331.7083,151.2672,,
M-SMC-07252023-21     ,92.3615,186.3621,229.484,89.2005,34.3027,34.3027,69.3744,273.065,228.9341,69.3743,273.0651,228.9342,84.3908,356.4499,348.4668,137.9602,84.3908,356.4499,348.467,137.9601,597.4081,1302.3248,356.4499,,,273.06505,,,68.6054,207.3541,1211.3525,137.96015,,
M-SMC-07282023-36     ,104.2861,172.2611,213.855,95.4661,37.0221,37.0221,97.3989,289.4432,224.4061,97.399,289.443,224.4061,92.0319,418.2791,431.4541,150.4518,92.0319,418.2791,431.454,150.4518,585.8683,1435.6015,418.2791,,,289.4431,,,74.0442,268.8421,1296.5405,150.4518,,
M-SMC-06262023-01     ,104.7596,191.502,233.0351,95.7146,38.5344,38.5343,75.6643,317.5071,239.9549,75.6644,317.5071,239.9551,92.3348,423.2722,408.8312,150.9468,92.3348,423.2719,408.831,150.9467,625.0113,1457.1147,423.27205,,,317.5071,,,77.0687,228.3974,1343.3216,150.94675,,
M-SMC-07252023-20     ,103.3466,141.2594,182.9729,94.9721,37.6509,37.6511,85.1971,310.765,239.1401,85.197,310.7652,239.1402,91.4294,458.2002,420.4653,149.4669,91.4294,458.2003,420.4651,149.4668,522.551,1401.2165,458.20025,,,310.7651,,,75.302,245.6961,1345.5066,149.46685,,
M-SMC-07252023-24     ,107.7426,175.7821,216.933,97.2817,37.7263,37.7263,84.5025,328.2382,253.86,84.5025,328.2381,253.86,94.2459,447.1452,430.8422,154.0714,94.2459,447.1453,430.8422,154.0714,597.7394,1475.7268,447.14525,,,328.23815,,,75.4526,244.4576,1408.6539,154.0714,,
M-SMC-06282023-09     ,104.7534,210.805,252.3389,95.7118,37.7378,37.7377,89.7965,289.4592,219.8571,89.7967,289.4589,219.8571,92.3313,402.632,392.538,150.9413,92.3313,402.6322,392.5382,150.9413,663.6091,1458.7791,402.6321,,,289.45905,,,75.4755,255.0687,1273.701,150.9413,,
M-SMC-07262023-29     ,120.4656,193.0113,232.5319,103.9637,44.3671,44.3671,83.928,353.9891,272.7583,83.928,353.9892,272.7581,102.395,486.5712,469.596,167.3927,102.395,486.5709,469.596,167.3927,649.9725,1606.1397,486.57105,,,353.98915,,,88.7342,256.5902,1510.0849,167.3927,,
M-SMC-07262023-28     ,112.1209,183.454,184.0442,59.5813,39.5712,39.5712,92.9312,351.6843,247.3473,92.9313,351.6841,247.3472,97.0504,457.4461,442.6334,158.6564,97.0504,457.4462,442.6332,158.6562,539.2004,1439.2799,457.44615,,,351.6842,,,79.1424,265.0049,1463.0678,158.6563,,
