across_within,measure,model,var,coef,pvalue,tool,pvalue_adjusted,significant,significant_robustness_firstsessiononly,significant_robustness_session1only,significant_robustness_session2only,significant_robustness_BMIweight1
within,upper_leg_length,avg_upper_leg_length + session_no,avg_upper_leg_length,0.2520660299613777,0.17943471182186146,,0.44723041473553743,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no,session_no_2,-0.8682779816118196,0.4759939671014257,,0.6985338103500986,False,,,,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI,const,-10.338551868381547,0.23829445425773546,,0.4799216980855092,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI,avg_upper_leg_length,0.28224135126380173,0.12127702764181919,,0.39721540709534564,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI,BMI,-0.33932238767461076,0.06254086426549192,,0.2434022825467794,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI,session_no_2,-0.7714487870055893,0.5102637934892418,,0.7168584025604957,False,,,,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight,const,3.5503664611331316,0.7914142306953444,,0.8973515686624378,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight,avg_upper_leg_length,0.015962119847114847,0.9520159206051344,,0.9691567886962852,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight,BMI,-0.8315307380456843,0.04727414615783209,,0.2163048838195832,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight,weight,0.14231601183632842,0.18507035365781882,,0.44723041473553743,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight,session_no_2,-1.0655840995133072,0.36705908960029665,,0.6306489333336189,False,,,,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,const,4.177999296027036,0.752836870475226,,0.8672680747874603,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,avg_upper_leg_length,0.04864730333625089,0.853330664527914,,0.9115876603622988,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,BMI,-0.6497659938130547,0.132043685696505,,0.4033655915978158,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,weight,0.0341748994213205,0.7962225693149041,,0.8992631371085975,False,False,False,False,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,session_no_2,-1.1638064233885597,0.32024568454457797,,0.595037142895732,False,,,,False
within,upper_leg_length,avg_upper_leg_length + session_no + BMI + weight + sex,sex_Male,2.631540609921198,0.18859405684894415,,0.4480706973676668,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth,const,-0.6718489572318624,0.8736048411805364,,0.9115876603622988,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth,avg_biacromial_breadth,-1.1677135336145847,1.3538014212545974e-06,,0.00014110699051005397,True,True,False,True,True
within,biacromial_breadth,avg_biacromial_breadth + session_no,const,0.3490352653016604,0.9372394225982482,,0.9610366206214868,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth + session_no,avg_biacromial_breadth,-1.1956736975480553,1.4099628234005655e-06,,0.00014110699051005397,True,True,False,True,True
within,biacromial_breadth,avg_biacromial_breadth + session_no,session_no_2,-0.830138566973067,0.4254809028227847,,0.6658088740655678,False,,,,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI,const,5.43727682330713,0.3193662604038248,,0.595037142895732,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI,avg_biacromial_breadth,-1.161403690244177,1.9598193126396387e-06,,0.00014110699051005397,True,True,False,True,True
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI,BMI,-0.24223100119803376,0.1241298147172955,,0.39721540709534564,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI,session_no_2,-0.7063973719974368,0.4890443731425902,,0.7029035711006992,False,,,,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight,const,8.926276228208764,0.25512842535434394,,0.499843445592184,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight,avg_biacromial_breadth,-1.2877752237530338,7.72669676696899e-05,,0.0018544072240725576,True,False,False,True,True
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight,BMI,-0.4330077851584906,0.20755133508648554,,0.4542393235624851,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight,weight,0.05556158603491651,0.5276401525077474,,0.7236207805820536,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight,session_no_2,-1.051825277627187,0.3688237350712317,,0.6306489333336189,False,,,,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,const,10.679718034478434,0.24807054106161514,,0.48934462894346,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,avg_biacromial_breadth,-1.3364421512162405,0.00018895122180506978,,0.004185996298450776,True,False,False,True,True
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,BMI,-0.42476645300615035,0.22361826003697313,,0.4666815861641178,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,weight,0.03828417189308043,0.702295481370989,,0.8396221463008076,False,False,False,False,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,session_no_2,-1.1677827055677596,0.3416833934665703,,0.6150301082398265,False,,,,False
within,biacromial_breadth,avg_biacromial_breadth + session_no + BMI + weight + sex,sex_Male,0.7418135813467046,0.7063086864310133,,0.8396221463008076,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length,const,-14.362832851149694,0.09089457876370655,,0.3296701886341985,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length,avg_upper_arm_length,0.1966512152970087,0.4124745287650078,,0.6582605078373887,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no,const,-14.96881148820417,0.08150920249453762,,0.3088769778740373,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no,avg_upper_arm_length,0.20183340610305225,0.40312250663186766,,0.6485993402792061,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no,session_no_2,0.806820212656997,0.4245216570270912,,0.6658088740655678,False,,,,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI,const,-13.859878469213067,0.12303204148224832,,0.39721540709534564,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI,avg_upper_arm_length,0.22136546836073817,0.37235661310107593,,0.6306489333336189,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI,BMI,-0.07448881007193237,0.6394259954071513,,0.811212897408879,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI,session_no_2,0.8380139663174778,0.4136984441616922,,0.6582605078373887,False,,,,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight,const,1.2759552831071392,0.9376780916480478,,0.9610366206214868,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight,avg_upper_arm_length,-0.17621187738299593,0.6870610744817238,,0.8384474129268494,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight,BMI,-0.47773517092226625,0.23654586987863319,,0.47975500369750956,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight,weight,0.12325089311055233,0.27562663588925557,,0.5292031409073706,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight,session_no_2,0.2601579064715116,0.820167488663663,,0.9050124012840419,False,,,,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,const,0.8378214561203515,0.9602270784906097,,0.9703347319484057,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,avg_upper_arm_length,-0.1709097932736482,0.7013849572308287,,0.8396221463008076,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,BMI,-0.4910529964516061,0.24063241097897184,,0.4812648219579437,False,False,False,False,False
